CSS161	FUND OF COMPUTING	(NW,QSR)
	10975 A	5	M,W	1430-1700	UW1 040	NASH,ROB D	25/32
CSS162	PROG METHODOLOGY	(NW,QSR)
	10976 A	5	M,W	1800-2030	UW1  030	NASH,ROB D	21/26
CSS198	SUPERVISED STUDY
	10977 A	5		to be arranged			0/20
	10978 B	5		to be arranged			1/20
CSS199	COMPUTING RESEARCH
	10979 A	5		to be arranged			0/20
	10980 B	5		to be arranged			0/20
CSS290	TOPICS IN COMPUTING
	10981 A	5	T,Th	1300-1720	UW2 205	SUNG,KELVIN H.	20/25
	14359 B	5	T,Th	1430-1700	UW2 141	WEUSIJANA,BABA KOFI ADAM	4/40
CSS301	TECHNICAL WRITING
	10982 A	5	M,W	900-1130	UW1 020	ANDERSON,LAURIE JOY	13/30
CSS475	DATABASE SYSTEMS
	14161 A	5	T,Th	1800-2030	UW2 141	KOCHANSKI,MARK	52/53
CSS497	COOPERATIVE EDUC
	10983 A	10		to be arranged			2/20
	10984 B	10		to be arranged			8/20
	10985 C	10		to be arranged			0/5
	10986 D	10		to be arranged			2/5
	10987 E	10		to be arranged			2/5
	10988 F	10		to be arranged			2/5
	10989 G	10		to be arranged			0/5
	10990 H	10		to be arranged			12/5
	10991 I	10		to be arranged			0/5
	10992 J	10		to be arranged			1/5
	10993 K	10		to be arranged			1/5
	10994 L	10		to be arranged			4/5
	10995 M	10		to be arranged			0/5
	10996 N	10		to be arranged			7/5
	10997 O	10		to be arranged			0/5
	10998 P	10		to be arranged			2/5
	10999 Q	10		to be arranged			0/5
	11000 R	10		to be arranged			2/5
	11001 S	10		to be arranged			0/5
	11002 T	10		to be arranged			0/5
CSS498	INDEPENDENT STUDY
	11003 A	5		to be arranged			0/20
	11004 B	5		to be arranged			9/20
CSS499	UNDERGRAD RESEARCH
	11005 A	5		to be arranged			0/20
	11006 B	5		to be arranged			1/20
CSS545	MOBILE COMPUTING
	14461 B	5	M,W	600-830	UW1 202	SAMUEL,ARJMAND M	0/2
CSSSKL161	PROGRAMMING SKILLS
	11015 A	1	T	1430-1700	UW1 120	NASH,ROB D	25/32
CSSSKL162	PROG METHOD SKILLS	(QSR)
	11016 A	1	T	1800-2030	UW1 120	NASH,ROB D	21/26
CSS545	MOBILE COMPUTING
	14263 A	5	M,W	1800-2030	UW1 202	SAMUEL,ARJMAND M	16/20
CSS595	CAPSTONE PROJECT I
	11011 A	5	T,Th	1800-2030	UW1 060	ERDLY,WILLIAM W	7/30
CSS600	INDEPDNT STDY/RSCH
	11012 A	5		to be arranged			0/20
	11013 B	5		to be arranged			4/20
CSS700	MASTERS THESIS
	11014 A	10		to be arranged			2/20
