CSS161	FUND OF COMPUTING	(NW,QSR)
	13919 A	5	T,Th	1100-1300	UW1 040	NASH,ROB D	19/36
	13955 AA	LB	W	1100-1300	UW2 105	NASH,ROB D	19/36
CSS162	PROG METHODOLOGY	(NW,QSR)
	10900 A	5	M,W	1745-1945	UW1 110	MURTHY,UMA	13/36
	13956 AA	LB	T	1745-1945	UW1 121	MURTHY,UMA	13/36
CSS198	SUPERVISED STUDY
	10901 A	5		to be arranged			0/20
	10902 B	5		to be arranged			5/20
CSS199	COMPUTING RESEARCH
	10903 A	5		to be arranged			0/20
	10904 B	5		to be arranged			2/20
CSS390	SPECIAL TOPICS
	13947 A	5	MTWTh	1530-1730	UW1 121	ASUNCION,HAZELINE U	19/32
	B-term
CSS490	SPECIAL TOPICS
	13920 A	5	M,W	1745-1945	UW1 221	FUKUDA,MUNEHIRO	12/20
CSS497	COOPERATIVE EDUC
	10906 A	10		to be arranged			2/20
	10907 B	10		to be arranged			7/20
	10908 C	10		to be arranged			0/5
	10909 D	10		to be arranged			2/5
	10910 E	10		to be arranged			0/5
	10911 F	10		to be arranged			3/5
	10912 G	10		to be arranged			0/5
	10913 H	10		to be arranged			16/5
	10914 I	10		to be arranged			0/5
	10915 J	10		to be arranged			0/5
	10916 K	10		to be arranged			0/5
	10917 L	10		to be arranged			1/5
	10918 M	10		to be arranged			1/5
	10919 N	10		to be arranged			11/5
	10920 O	10		to be arranged			1/5
	10921 P	10		to be arranged			0/5
	10922 Q	10		to be arranged			3/5
	10923 R	10		to be arranged			0/5
	10924 S	10		to be arranged			0/5
	10925 T	10		to be arranged			0/5
CSS498	INDEPENDENT STUDY
	10926 A	5		to be arranged			3/20
	10927 B	5		to be arranged			6/20
CSS499	UNDERGRAD RESEARCH
	10928 A	5		to be arranged			1/20
	10929 B	5		to be arranged			1/20
CSS577	SECURE SOFTWARE DEV
	14343 B	5	T,Th	1745-1945	UW1 202	KOCHANSKI,MARK	2/5
CSS534	PAR PROG GRID CLOUD
	13945 A	5	M,W	1745-1945	UW1 221	FUKUDA,MUNEHIRO	13/15
CSS577	SECURE SOFTWARE DEV
	13946 A	5	T,Th	1745-1945	UW1 202	KOCHANSKI,MARK	2/45
CSS595	CAPSTONE PROJECT I
	10931 A	5	T	1800-2200	UW1 060	ERDLY,WILLIAM W	17/30
CSS600	INDEPDNT STDY/RSCH
	10932 A	5		to be arranged			1/20
	10933 B	5		to be arranged			6/20
CSS700	MASTERS THESIS
	10934 A	10		to be arranged			3/20
