CSS107	PROG-ANIMATED STORY	(VLPA,QSR)
	12939 A	2	M	2000-2200	DISC 252	BRECHNER,ERIC L.	42/60
CSS519	INCIDT RESP & RECOV
	12940 A	5	T,Th	1745-1945	LBA  003	KOCHANSKI,MARK	3/30
CSS553	SOFTWARE ARCH
	12941 A	5	M,W	1745-1945	UWBB 240	ASUNCION,HAZELINE U	25/30
CSS566	SOFTWARE MANAGEMENT
	12942 A	5	T,Th	1745-1945	UW2  040	NASIR,FAISAL	13/30
CSS578	VULNERBLTY DETECT
	12943 A	5	T,Th	2000-2200 	UW2  221	THAMILARASU,GEETHAPRIYA	11/30
CSS590	SPECIAL TOPIC CMPTG
	12944 A	5	M,W	2000-2200 	UW1  102	CHEN,MIN	20/25
	20628 B	5	T,Th	1530-1730	UW2  031	SOCHA,DAVID G	3/10
CSS596	CAPSTONE PROJECT II
	12945 A	5	T	2000-2200	UW1  031	SOCHA,DAVID G	7/30
CSS600	INDEPDNT STDY/RSCH
	12946 A	5		to be arranged			2/10
	12947 B	5		to be arranged			1/10
CSS700	MASTERS THESIS
	12948 A	10		to be arranged			3/20E
