CSS161	FUND OF COMPUTING
	12637 A	5	M,W	1100-1300	UW2 221	MURTHY,UMA	28/30
	12638 B	5	M,W	1315-1513	UWBB 240	OLSON,CLARK F	30/32
CSS162	PROG METHODOLOGY
	12639 A	5	T,Th	1315-1513	UW2 305	NASH,ROB D	35/36
CSS198	SUPERVISED STUDY
	12640 A	5		to be arranged	*	*	0/30
	12641 B	5		to be arranged	*	*	3/30
CSS199	COMPUTING RESEARCH
	12642 A	2		to be arranged	*	*	0/30
	12643 B	2		to be arranged	*	*	0/30
CSS225	PHYS/CHEM OF COMP	(QSR)
	12644 A	5	T,Th	1315-1513	UW2 340	GUNNERSON,KIM N.	25/30
CSS301	TECHNICAL WRITING
	12645 A	5	M,F	1530-1730	UW2 005	ANDERSON,LAURIE JOY	48/60
	12646 B	5	T,Th	1745-1945	UW1 060	KOOL,NANCY L	31/30
CSS341	PROGRAM THEORY/APP
	12647 A	5	T,Th	1315-1513	UW1 121	JACKELS,CHARLES F	21/30
CSS342	MATH & COMPUTING
	12648 A	5	M,W	1745-1945	UW1 041	FUKUDA,MUNEHIRO	44/48
	12649 B	5	M,W	2000-2200	UW1 120	KIM,WOOYOUNG	33/36
CSS343	DATA STRUCTURES/ALG
	12650 A	5	M,W	1530-1730	UW1 220	ZANDER,CAROL	38/45
CSS350	MGT PRINCIPLES
	12651 A	5	T,Th	1530-1730	UW2 240	KOCHANSKI,MARK	36/48
CSS360	SOFTWARE ENGR
	12652 A	5	T,Th	1745-1945	UW1 030	SOCHA,DAVID G	47/48
CSS370	ANALYSIS AND DESIGN
	12653 A	5	M,W	1745-1945	UW2 305	RAZMOV,VALENTIN N.	32/36
CSS390	SPECIAL TOPICS
	12654 A	5	M,W	1315-1513	UW1 221	ASUNCION,HAZELINE U	30/32
	12655 B	5	T,Th	1530-1730	UW1 221	AMBALAVANAN,ARUNA	36/48
	12656 C	5	T,Th	2000-2200	UW1 020	KRAEMER,SUSAN	8/30
CSS430	OPERATING SYSTEMS
	12658 A	5	W	1530-1730	UW2 005	MCCARTHY,JOSEPH	56/60
		5	F	1530-1730	UW1 041	MCCARTHY,JOSEPH
CSS432	NETWORK DESIGN
	12659 A	5	T,Th	1530-1730	UW2 031	MCCARTHY,JOSEPH	16/48
CSS434	PARA DISTR COMPUTING
	12660 A	5	T,Th	1745-1945	UW1 041	FUKUDA,MUNEHIRO	26/48
CSS448	INTRO TO COMPILERS
	12661 A	5	M,W	1745-1945	UW1 220	ZANDER,CAROL	9/15
CSS474	PRODUCT DEVEL LAB
	22210 A	5	M,W	2000-2200	UW1 021	DATAR,ASEEM D.	6/15
CSS497	COOPERATIVE EDUC
	12662 A	10		to be arranged	*	*	8/30
	12663 B	10		to be arranged	*	*	32/30
CSS498	INDEPENDENT STUDY
	12664 A	5		to be arranged	*	*	4/30
	12665 B	5		to be arranged	*	*	3/30
CSS499	UNDERGRAD RESEARCH
	12666 A	5		to be arranged	*	*	2/30
	12667 B	5		to be arranged	*	*	3/30
CSSSKL161	PROGRAMMING SKILLS
	12675 A	1	F	1100-1330	UW1 120	MCCARTHY,JOSEPH	28/36
	12676 B	1	F	1315-1545	UW2 105	OLSON,CLARK F	30/32
CSSSKL162	PROG METHOD SKILLS	(QSR)
	12677 A	1	F	1315-1610	UW1 121	NASH,ROB D	35/36
CSS501	DATA STRUCT & OOP I
	12668 A	4	M,W	1800-1940	UW2 340	OLSON,CLARK F	25/40
CSS506	SOFT DEVL PROCESSES
	12669 A	2	M	2000-2200	UW1 110	KOCHANSKI,MARK	26/40
CSS548	INTRO TO COMPILERS
	21634 A	5	M,W	1745-1945	UW1 220	ZANDER,CAROL	15/25
CSS565	RSRCH METH SW DEV
	12670 A	5	T,Th	1745-1945	UW2 240	ERDLY,WILLIAM	32/45
CSS596	CAPSTONE PROJECT II
	12671 A	5	T,Th	2000-2200	UW1 031	ERDLY,WILLIAM	17/30
CSS600	INDEPDNT STDY/RSCH
	12672 A	5		to be arranged	*	*	3/10
	12673 B	5		to be arranged	*	*	2/10
CSS700	MASTERS THESIS
	12674 A	VAR		to be arranged	*	*	3/10
