CSS162	PROG METHODOLOGY	(NW,QSR)
	10841 A	5	M,W	1745-1945	UW1 030	NASH,ROB D	27/32
			T	1745-1945	UW1 120	NASH,ROB D
CSS198	SUPERVISED STUDY
	10843 A	5		to be arranged			0/20
	10844 B	5		to be arranged			7/20
CSS199	COMPUTING RESEARCH
	10845 A	5		to be arranged			0/20
	10846 B	5		to be arranged			0/20
CSS290	TOPICS IN COMPUTING
	14025 A	5	T,Th	1000-1400	UW1 121	SUNG,KELVIN H.	23/30
CSS371	BUSINESS OF TECH
	14195 A	5	T,Th	1600-1800	UWBB 240	BERGER,ARNOLD S	7/30
CSS497	COOPERATIVE EDUC
	10847 A	10		to be arranged			1/20
	10848 B	10		to be arranged			0/20
	10849 C	10		to be arranged			0/5
	10850 D	10		to be arranged			3/5
	10851 E	10		to be arranged			4/5
	10852 F	10		to be arranged			10/5
	10853 G	10		to be arranged			1/5
	10854 H	10		to be arranged			1/5
	10855 I	10		to be arranged			0/5
	10856 J	10		to be arranged			7/5
	10857 K	10		to be arranged			0/5
	10858 L	10		to be arranged			1/5
	10859 M	10		to be arranged			3/5
	10860 N	10		to be arranged			3/5
	10861 O	10		to be arranged			0/5
	10862 P	10		to be arranged			6/5
	10863 Q	10		to be arranged			0/5
	10864 R	10		to be arranged			1/5
	10865 S	10		to be arranged			0/5
	10866 T	10		to be arranged			2/5
CSS498	INDEPENDENT STUDY
	10867 A	5		to be arranged			2/20
	10868 B	5		to be arranged			7/20
CSS499	UNDERGRAD RESEARCH
	10869 A	5		to be arranged			3/20
	10870 B	5		to be arranged			1/20
CSS590	SPECIAL TOPIC CMPTG
	13980 A	5	M,W	1745-1945	UW1 202	ASUNCION,HAZELINE U	12/45
CSS595	CAPSTONE PROJECT I
	10872 A	5	T	1800-2200	UW1 321	ERDLY,WILLIAM W	2/30
CSS600	INDEPDNT STDY/RSCH
	10873 A	5		to be arranged			4/20
	10874 B	5		to be arranged			1/20
CSS700	MASTERS THESIS
	10875 A	10		to be arranged			0/20
