CSS161	FUND OF COMPUTING
	12605 A	5	M,W	1315-1513	UW1 102	STIBER,MICHAEL D	26/32
			W	1530-1730	UW1 121	OLSON,CLARK F	
	12606 B	5	M,W	1745-1945	LBA 003	NASH,ROB D	34/30
			T	1745-1945	UW1 120	NASH,ROB D	
CSS162	PROG METHODOLOGY
	12607 A	5	T,Th	1315-1513	UWBB 240	NASH,ROB D	36/36
			F	1315-1513	UW1 120	NASH,ROB D	
	20055 B	5	M,W	1530-1730	UW1 051	MURTHY,UMA	10/32
			F	1530-1730	UW1 121	MURTHY,UMA	
CSS198	SUPERVISED STUDY
	12608 A	5		to be arranged			0/40
	12609 B	5		to be arranged			17/40
CSS199	COMPUTING RESEARCH
	12610 A	5		to be arranged			0/40
	12611 B	5		to be arranged			0/40
CSS211	COMPUTERS & SOCIETY	(I&S)
	12612 A	5	M,W	1315-1513	UWBB 240	KOCHANSKI,MARK	31/30
CSS301	TECHNICAL WRITING
	12613 A	5	T,Th	1530-1730	UW1 102	ANDERSON,LAURIE JOY	30/30
CSS342	MATH & COMPUTING
	12614 A	5	M,W	1745-1945	UW1 102	ZANDER,CAROL	35/45
CSS343	DATA STRUCTURES/ALG
	20053 A	5	M,W	1530-1730	UW1 102	ZANDER,CAROL	18/45
CSS350	MGT PRINCIPLES
	12615 A	5	T,Th	1530-1730	UW2 121	KOCHANSKI,MARK	25/45
CSS360	SOFTWARE ENGR
	12616 A	5	M,W	1530-1730	UW1 221	ASUNCION,HAZELINE U	33/45
CSS370	ANALYSIS AND DESIGN
	12617 A	5	T,Th	1745-1945	UW2 005	RAZMOV,VALENTIN N.	35/36
CSS371	BUSINESS OF TECH
	12618 A	5	M,W	1745-1945	UWBB 230	BERGER,ARNOLD S	8/11
CSS385	INTRO TO GAME DEV
	12619 A	5	M,W	2000-2200	UW1 210	SUNG,KELVIN H.	20/20
CSS390	SPECIAL TOPICS
	12620 A	5	M,W	845-1045	UW2 240	SCHILDKRAUT,LAURA B.	5/30
CSS422	HARDWARE & COMP ORG
	12621 A	5	M,W	1745-1945	UW2 005	AMBALAVANAN,ARUNA	72/90
CSS427	EMBEDDED SYSTEMS
	12622 A	5	M,W	1530-1730	UW2 240	HUSSEIN,RANIA	8/35
CSS432	NETWORK DESIGN
	12623 A	5	T,Th	1745-1945	UW1 221	MCCARTHY,JOSEPH	25/45
CSS434	PARA DISTR COMPUTING
	12624 A	5	T,Th	1530-1730	UW1 041	FUKUDA,MUNEHIRO	22/45
CSS475	DATABASE SYSTEMS
	12626 A	5	M,W	2000-2200	UW1 030	OLSON,CLARK F	35/45
CSS490	SPECIAL TOPICS
	12627 A	5	M,W	1745-1945	UW1 210	SUNG,KELVIN H.	13/15
	12628 B	5	M,W	1530-1730	UW2 005	MCCARTHY,JOSEPH	41/45
	12629 C	5	M,W	1745-1945	UW1 020	ERDLY,WILLIAM W	13/48
CSS496	APPL CMPT SEMINAR
	12630 A	5	T,Th	1745-1945	UW1 370	ANDERSON,LAURIE JOY	5/15
CSS497	COOPERATIVE EDUC
	12631 A	10		to be arranged			5/40
	12632 B	10		to be arranged			24/40
CSS498	INDEPENDENT STUDY
	12633 A	5		to be arranged			2/20
	12634 B	5		to be arranged			2/20
CSS499	UNDERGRAD RESEARCH
	12635 A	5		to be arranged			2/20
	12636 B	5		to be arranged			0/20
CSS503	SYSTEMS PROGRAMMING
	12637 B	4	T,Th	1800-1945	UW2 031	FUKUDA,MUNEHIRO	18/45
CSS508	SFTWRE TEST & QUAL
	12638 A	2	T	2000-2200	UW1 121	ASUNCION,HAZELINE U	19/30
CSS555	EVAL SOFTWARE DESGN
	12639 A	5	T,Th	1745-1945	LBA 003	KOCHANSKI,MARK	22/30
CSS590	SPECIAL TOPIC CMPTG
	12640 A	5	M,W	1745-1945	UW1 210	SUNG,KELVIN H.	18/15
CSS596	CAPSTONE PROJECT II
	12641 A	5	W	1745-1945	UW2 340	SOCHA,DAVID G	12/30
CSS600	INDEPDNT STDY/RSCH
	12642 A	5		to be arranged			3/10
	12643 B	5		to be arranged			0/10
CSS700	MASTERS THESIS
	12644 A	10		to be arranged			6/20
