CSS107	PROG-ANIMATED STORY	(VLPA,QSR)
	12987 AA	LB	F	230-530	DISC 256	FOLSOM,TYLER C.	18/16
	21645 AB	LB	F	230-530	DISC 258	FOLSOM,TYLER C.	17/30
CSS430	OPERATING SYSTEMS
	12988 A	5	MW	330-530	UW2 141	DIMPSEY,ROBERT T	46/48
CSS451	3-D COMPUTER GRAPHIC
	12989 A	5	TTh	330-530	DISC 061	RETIK,ARIEH A	23/45
CSS475	DATABASE SYSTEMS
	12990 A	5	MW	115-315	UW1 041	KOCHANSKI,MARK	48/48
CSS490	SPECIAL TOPICS
	12992 A	5	TTh	545-745P	UW1 010	KIM,WOOYOUNG	6/10
	12994 C	5	MW	800-1000P 	UW1 030	BERNSTEIN,MORRIS	36/45
	12995 D	5	TTh	545-745P	UW1 030	LEE,DANIELLE	43/48
CSS495	A CMPT INTERNSHIP
	21530 A	5		to be arranged	*	*	1/10
CSS497	COOPERATIVE EDUC
	12996 A	10		to be arranged			6/40
	12997 B	10		to be arranged			32/40
CSS498	INDEPENDENT STUDY
	12998 A	5		to be arranged			5/40
	12999 B	5		to be arranged			3/40
CSS499	UNDERGRAD RESEARCH
	13000 A	5		to be arranged			2/40
	13001 B	5		to be arranged			10/40
CSS534	PAR PROG GRID CLOUD
	21769 B	5	MW	545-745P	UW1 041	FUKUDA,MUNEHIRO	3/10
CSSSKL161 PROGRAMMING SKILLS
	13013 A	1	F	845-1115	UW1 040	PARSONS,ERIKA F.	47/48
	13014 B	1	F	1130-200	UW1 030	PARSONS,ERIKA F.	46/48
	13015 C	1	F	1130-200	UW1 120	FERRACINA,FABIANA	28/30
CSSSKL162 PROG METHOD SKILLS	(QSR)
	13016 A	1	F	215-445	UW1 030	RETIK,ARIEH A	33/48
	13017 B	1	T	545-815P	DISC 162	RETIK,ARIEH A	18/48
CSSSKL509 TECH WRITING SKL
	21650 A	2	Th	800-1000P 	UWBB 260	KOOL,NANCY L	4/20
CSS502	DATA STRUC & OOP II
	13002 A	4	MW	600-740P	UW2 141	PHOENIX,MICHAEL	40/45
CSS507	SOFTWARE MODELING
	13003 A	2	M	800-1000P 	UW1 102	BRECHNER,ERIC L.	43/45
CSS534	PAR PROG GRID CLOUD
	13004 A	5	MW	545-745P	UW1 041	FUKUDA,MUNEHIRO	32/50
CSS537	NETWORK SECURITY
	13005 A	5	TTh	800-1000P 	UW1 060	THAMILARASU,GEETHAPRIYA	11/30
CSS545	MOBILE COMPUTING
	13006 A	5	MW	800-1000P 	UW1 060	SAMUEL,ARJMAND M	20/30
CSS577	SECURE SOFTWARE DEV
	13007 A	5	TTh	545-745P	UW1 041	LAGESSE,BRENT J	12/30
CSS590	SPECIAL TOPIC CMPTG
	13008 A	5	TTh	545-745P	UW1 010	KIM,WOOYOUNG	0/30
CSS595	CAPSTONE PROJECT I
	13009 A	5	T	800-1000P	UW1 031	SOCHA,DAVID G	7/30
CSS600	INDEPDNT STDY/RSCH
	13010 A	5		to be arranged			4/20
	13011 B	5		to be arranged			1/20
CSS601	INTERNSHIP
	20968 A	5		to be arranged			1/20E
CSS700	MASTERS THESIS
	13012 A	10		to be arranged			4/20
