CSS107	PROG-ANIMATED STORY	(VLPA,QSR)
	12958 A	5	MW	115-315	UW1 121	GUNNERSON,KIM N.	32/32
CSS161	FUND OF COMPUTING	(NW,QSR)
	12959 A	5	MW	330-530	UW2 031	THAMILARASU,GEETHAPRIYA	45/48
	12960 B	5	MW	1100-100	DISC 061	LIN,JOHNNY W	45/48
	12961 C	5	MW	845-1045	UW1 121	NASH,ROB D	29/30
CSS162	PROG METHODOLOGY	(NW,QSR)
	12962 A	5	TTh	1100-100	UW1 041	LIN,JOHNNY W	27/48
	12963 B	5	MW	545-745P	UW1 110	NASH,ROB D	24/48
CSS198	SUPERVISED STUDY
	12964 A	5		to be arranged			1/40
	12965 B	5		to be arranged			0/40
CSS199	COMPUTING RESEARCH
	12966 A	5		to be arranged			0/40
	12967 B	5		to be arranged			0/40
CSS205	WOMEN STEM: COLLEGE	(I&S,DIV)
	12968 A	1	M	330-420	UW2 040	CHEN,MIN	3/15
CSS290	TOPICS IN COMPUTING
	21269 B	2	M	330-530	UW2 228	GRUENBAUM,PETER E	3/15
CSS301	TECHNICAL WRITING
	12970 A	5	F	1100-100	LBA 003	ANDERSON,LAURIE JOY	29/30
	12971 B	5	TTh	115-315	UW2 340	KOOL,NANCY L	29/30
	21570 C	5	MW	845-1045	LBA 003	WACKER,ZORICA G.	27/30
CSS332	PROG W/OO LANGS
	12972 A	2	F	115-515	UW1 020	STIBER,MICHAEL D	31/45
CSS337	SECURE SYSTEMS
	12973 A	5	MW	800-1000P 	UWBB 240	HEFFERNAN,RYAN W	47/48
CSS342	DATA, ALG, MATH I
	12974 A	5	MW	545-745P	UW1 220	DIMPSEY,ROBERT T	38/45
CSS343	DATA, ALG, MATH II
	12975 A	5	MW	330-530	DISC 162	OLSON,CLARK F	81/85
CSS350	MGT PRINCIPLES
	12977 A	5	TTh	330-530	UW2 005	KIM,JEFFREY Y.	13/60
	12978 B	5	TTh	115-315	UW2 005	KIM,JEFFREY Y.	57/60
CSS360	SOFTWARE ENGR
	12979 A	5	TTh	330-530	UW1 221	ASUNCION,HAZELINE U	37/45
	12980 B	5	TTh	545-745P	UW2 141	RAZMOV,VALENTIN N.	28/45
CSS370	ANALYSIS AND DESIGN
	12981 A	5	MW	115-315	DISC 252	CHEN,MIN	54/60
	12982 B	5	TTh	545-745P	DISC 252	SOCHA,DAVID G	10/60
CSS405	WOMEN STEM: CAREER	(I&S,DIV)
	21430 A	1	M	330-420	UW2 040	CHEN,MIN	3/15
CSS421	CMPT HW & O/S	(NW)
	12984 A	5	TTh	545-745P	UW2 228	ANDERSON,LAURIE JOY	3/10
CSS422	HARDWARE & COMP ORG
	12985 A	5	TTh	330-530	UW2 131	KIM,WOOYOUNG	30/45
CSS427	EMBEDDED SYSTEMS
	12986 A	5	MW	545-745P	DISC 258	FOLSOM,TYLER C.	35/45
